"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"1";"1";"1000";"168";"1471900033066";"2";"true";"Prim1"
"1";"1";"10000";"1229";"1471900033068";"0";"true";"Prim1"
"1";"1";"100000";"9592";"1471900033088";"234";"true";"Prim1"
"1";"1";"1000000";"78498";"1471900033341";"8210";"true";"Prim1"
"1";"1";"1000";"168";"1471900057591";"0";"";""
"1";"1";"1000";"168";"1471900057480";"132";"true";"Prim2"
"1";"1";"10000";"1229";"1471900057612";"0";"";""
"1";"1";"10000";"1229";"1471900057612";"30";"true";"Prim2"
"1";"1";"100000";"9592";"1471900057642";"143";"";""
"1";"1";"100000";"9592";"1471900057642";"143";"true";"Prim2"
"1";"1";"1000000";"78498";"1471900057785";"8114";"";""
"1";"1";"1000000";"78498";"1471900057785";"8116";"true";"Prim2"
"1";"1";"500";"95";"1471900065972";"1";"";""
"2";"501";"1000";"73";"1471900065972";"1";"";""
"2";"1";"1000";"168";"1471900065972";"5";"true";"Prim2"
"1";"1";"5000";"669";"1471900065983";"0";"";""
"2";"5001";"10000";"560";"1471900065983";"0";"";""
"2";"1";"10000";"1229";"1471900065983";"0";"true";"Prim2"
"1";"1";"50000";"5133";"1471900065983";"61";"";""
"2";"50001";"100000";"4459";"1471900065983";"81";"";""
"2";"1";"100000";"9592";"1471900065983";"84";"true";"Prim2"
"1";"1";"500000";"41538";"1471900066075";"2830";"";""
"2";"500001";"1000000";"36960";"1471900066075";"3047";"";""
"2";"1";"1000000";"78498";"1471900066073";"3066";"true";"Prim2"
"1";"1";"333";"67";"1471900069221";"0";"";""
"3";"667";"1000";"47";"1471900069221";"1";"";""
"2";"334";"666";"54";"1471900069221";"0";"";""
"3";"1";"1000";"168";"1471900069221";"9";"true";"Prim2"
"1";"1";"3333";"470";"1471900069234";"0";"";""
"3";"6667";"10000";"370";"1471900069234";"0";"";""
"2";"3334";"6666";"389";"1471900069234";"0";"";""
"3";"1";"10000";"1229";"1471900069234";"0";"true";"Prim2"
"1";"1";"33333";"3569";"1471900069254";"30";"";""
"2";"33334";"66666";"3076";"1471900069254";"30";"";""
"3";"66667";"100000";"2947";"1471900069254";"30";"";""
"3";"1";"100000";"9592";"1471900069253";"50";"true";"Prim2"
"1";"1";"333333";"28665";"1471900069305";"1593";"";""
"2";"333334";"666666";"25404";"1471900069305";"1717";"";""
"3";"666667";"1000000";"24429";"1471900069305";"1848";"";""
"3";"1";"1000000";"78498";"1471900069305";"1848";"true";"Prim2"
"1";"1";"250";"53";"1471900071235";"0";"";""
"4";"751";"1000";"36";"1471900071235";"0";"";""
"3";"501";"750";"37";"1471900071235";"0";"";""
"2";"251";"500";"42";"1471900071235";"0";"";""
"4";"1";"1000";"168";"1471900071235";"15";"true";"Prim2"
"2";"2501";"5000";"302";"1471900071255";"0";"";""
"4";"7501";"10000";"279";"1471900071255";"0";"";""
"3";"5001";"7500";"281";"1471900071255";"0";"";""
"1";"1";"2500";"367";"1471900071255";"0";"";""
"4";"1";"10000";"1229";"1471900071255";"19";"true";"Prim2"
"1";"1";"25000";"2762";"1471900071282";"22";"";""
"2";"25001";"50000";"2371";"1471900071282";"24";"";""
"3";"50001";"75000";"2260";"1471900071282";"29";"";""
"4";"75001";"100000";"2199";"1471900071282";"34";"";""
"4";"1";"100000";"9592";"1471900071281";"35";"true";"Prim2"
"1";"1";"250000";"22044";"1471900071316";"1154";"";""
"2";"250001";"500000";"19494";"1471900071316";"1206";"";""
"3";"500001";"750000";"18700";"1471900071316";"1283";"";""
"4";"750001";"1000000";"18260";"1471900071316";"1379";"";""
"4";"1";"1000000";"78498";"1471900071316";"1381";"true";"Prim2"
"2";"201";"400";"32";"1471900072777";"0";"";""
"5";"801";"1000";"29";"1471900072779";"0";"";""
"4";"601";"800";"30";"1471900072777";"1";"";""
"3";"401";"600";"31";"1471900072777";"0";"";""
"1";"1";"200";"46";"1471900072777";"0";"";""
"5";"1";"1000";"168";"1471900072777";"15";"true";"Prim2"
"2";"2001";"4000";"247";"1471900072799";"0";"";""
"5";"8001";"10000";"222";"1471900072799";"0";"";""
"4";"6001";"8000";"224";"1471900072799";"0";"";""
"1";"1";"2000";"303";"1471900072799";"0";"";""
"3";"4001";"6000";"233";"1471900072799";"0";"";""
"5";"1";"10000";"1229";"1471900072798";"21";"true";"Prim2"
"2";"20001";"40000";"1941";"1471900072820";"20";"";""
"3";"40001";"60000";"1854";"1471900072820";"20";"";""
"5";"80001";"100000";"1755";"1471900072820";"20";"";""
"4";"60001";"80000";"1780";"1471900072820";"38";"";""
"1";"1";"20000";"2262";"1471900072820";"40";"";""
"5";"1";"100000";"9592";"1471900072820";"40";"true";"Prim2"
"1";"1";"200000";"17984";"1471900072860";"941";"";""
"2";"200001";"400000";"15876";"1471900072860";"1015";"";""
"3";"400001";"600000";"15238";"1471900072860";"1072";"";""
"4";"600001";"800000";"14853";"1471900072860";"1107";"";""
"5";"800001";"1000000";"14547";"1471900072860";"1149";"";""
"5";"1";"1000000";"78498";"1471900072860";"1152";"true";"Prim2"
"2";"167";"332";"29";"1471900074096";"0";"";""
"1";"1";"166";"38";"1471900074096";"0";"";""
"5";"665";"830";"24";"1471900074099";"0";"";""
"3";"333";"498";"27";"1471900074099";"0";"";""
"4";"499";"664";"27";"1471900074099";"0";"";""
"6";"831";"1000";"23";"1471900074099";"0";"";""
"6";"1";"1000";"168";"1471900074095";"4";"true";"Prim2"
"1";"1";"1666";"261";"1471900074123";"1";"";""
"5";"6665";"8330";"186";"1471900074124";"1";"";""
"4";"4999";"6664";"191";"1471900074124";"1";"";""
"3";"3333";"4998";"198";"1471900074124";"0";"";""
"2";"1667";"3332";"209";"1471900074124";"0";"";""
"6";"8331";"10000";"184";"1471900074126";"1";"";""
"6";"1";"10000";"1229";"1471900074122";"8";"true";"Prim2"
"1";"1";"16666";"1928";"1471900074150";"0";"";""
"2";"16667";"33332";"1641";"1471900074150";"21";"";""
"4";"49999";"66664";"1513";"1471900074150";"19";"";""
"3";"33333";"49998";"1563";"1471900074150";"16";"";""
"6";"83331";"100000";"1458";"1471900074150";"31";"";""
"5";"66665";"83330";"1489";"1471900074150";"31";"";""
"6";"1";"100000";"9592";"1471900074149";"32";"true";"Prim2"
"1";"1";"166666";"15225";"1471900074235";"829";"";""
"2";"166667";"333332";"13440";"1471900074200";"815";"";""
"3";"333333";"499998";"12873";"1471900074200";"926";"";""
"4";"499999";"666664";"12531";"1471900074200";"984";"";""
"5";"666665";"833330";"12350";"1471900074200";"1003";"";""
"6";"833331";"1000000";"12079";"1471900074232";"1036";"";""
"6";"1";"1000000";"78498";"1471900074198";"1070";"true";"Prim2"
"1";"1";"142";"34";"1471900075339";"0";"";""
"4";"427";"568";"21";"1471900075339";"0";"";""
"6";"711";"852";"19";"1471900075357";"0";"";""
"2";"143";"284";"27";"1471900075339";"0";"";""
"7";"853";"1000";"22";"1471900075357";"0";"";""
"5";"569";"710";"24";"1471900075355";"0";"";""
"3";"285";"426";"21";"1471900075339";"0";"";""
"7";"1";"1000";"168";"1471900075339";"20";"true";"Prim2"
"2";"1429";"2856";"189";"1471900075382";"1";"";""
